Date,RSI,SMA
2023-07-24,56.07846250394608,27591.384766
2023-07-31,49.0854342416666,28430.0957035
2023-08-07,53.497879091300405,28438.38997433333
2023-08-14,47.23565706398833,28061.45214875
2023-08-21,47.50829795303434,27799.926953399998
2023-08-28,41.26683605912655,27847.546875166663
2023-09-04,44.29893344682538,27743.478236714283
2023-09-11,52.7477956224261,27518.064453249997
2023-09-18,49.62869867014546,27386.747613
2023-09-25,34.91207502135035,27696.0990236
2023-10-02,33.58660045546998,27961.97816063636
2023-10-09,32.29994122817811,28146.082845166664
2023-10-16,48.86698714297708,28307.855919615384
2023-10-23,64.23566494054381,28434.76185842857
2023-10-30,68.81379692448834,28490.798307466666
2023-11-06,73.40563234445415,28525.2393800625
2023-11-13,73.54622200142938,28569.808479058822
2023-11-20,89.7318296802633,28437.57378488889
2023-11-27,91.81692840433888,28314.00113089474
2023-12-04,93.89385210428031,28196.779394650006
2023-12-11,84.41645119270599,28084.18164076191
2023-12-18,85.04568825294061,28013.727361636367
2023-12-25,83.36676001377087,27937.34035339131
2024-01-01,83.33270512122176,27939.274088666672
2024-01-08,76.6175800769199,27939.106718880004
2024-01-15,78.19407561825855,27909.127704461538
2024-01-22,75.98749635904447,27986.341362962965
2024-01-29,70.98175936677353,28220.34633103572
2024-02-05,77.17266179845345,28455.829404758628
2024-02-12,78.76172508802105,28742.45240896667
2024-02-19,77.32509165518363,29021.294165935487
2024-02-26,84.16588423997607,29285.601257437505
2024-03-04,85.46255304814929,29609.625177666672
2024-03-11,82.5761745822168,30026.3920612353
2024-03-18,85.42230598270525,30350.342689857145
2024-03-25,86.3381939373662,30702.16975925
2024-04-01,83.71658634504388,31014.683752243243
2024-04-08,75.86714357601907,31354.905170763155
2024-04-15,78.34938084194062,31622.63246205128
2024-04-22,79.78617996704888,31870.711279399995
2024-04-23,78.23511027687248,32118.635242097556
