Date,Close,SMA
2023-04-17,27591.384766,27591.384766
2023-04-24,29268.806641,28430.0957035
2023-05-01,28454.978516,28438.38997433333
2023-05-08,26930.638672,28061.45214875
2023-05-15,26753.826172,27799.926953399998
2023-05-22,28085.646484,27847.546875166663
2023-05-29,27119.066406,27743.478236714283
2023-06-05,25940.167969,27518.064453249997
2023-06-12,26336.212891,27386.747613
2023-06-19,30480.261719,27696.0990236
2023-06-26,30620.769531,27961.97816063636
2023-07-03,30171.234375,28146.082845166664
2023-07-10,30249.132813,28307.855919615384
2023-07-17,30084.539063,28434.76185842857
2023-07-24,29275.308594,28490.798307466666
2023-07-31,29041.855469,28525.2393800625
2023-08-07,29282.914063,28569.808479058822
2023-08-14,26189.583984,28437.57378488889
2023-08-21,26089.693359,28314.00113089474
2023-08-28,25969.566406,28196.779394650006
2023-09-04,25832.226563,28084.18164076191
2023-09-11,26534.1875,28013.727361636367
2023-09-18,26256.826172,27937.34035339131
2023-09-25,27983.75,27939.274088666672
2023-10-02,27935.089844,27939.106718880004
2023-10-09,27159.652344,27909.127704461538
2023-10-16,29993.896484,27986.341362962965
2023-10-23,34538.480469,28220.34633103572
2023-10-30,35049.355469,28455.829404758628
2023-11-06,37054.519531,28742.45240896667
2023-11-13,37386.546875,29021.294165935487
2023-11-20,37479.121094,29285.601257437505
2023-11-27,39978.390625,29609.625177666672
2023-12-04,43779.699219,30026.3920612353
2023-12-11,41364.664063,30350.342689857145
2023-12-18,43016.117188,30702.16975925
2023-12-25,42265.1875,31014.683752243243
2024-01-01,43943.097656,31354.905170763155
2024-01-08,41796.269531,31622.63246205128
2024-01-15,41545.785156,31870.711279399995
2024-01-22,42035.59375,32118.635242097556
2024-01-29,42583.582031,32367.800641833328
2024-02-05,48293.917969,32738.175463395346
2024-02-12,52122.546875,33178.72935911363
2024-02-19,51733.238281,33591.05177959999
2024-02-26,63167.371094,34234.01524295652
2024-03-04,69019.789063,34974.13809019149
2024-03-11,68390.625,35670.3149008125
2024-03-18,67234.171875,36314.47524722449
2024-03-25,71333.648438,37014.858711040004
2024-04-01,69362.554688,37850.28210948001
2024-04-08,65738.726563,38579.680507920006
2024-04-15,64926.644531,39309.113828220005
2024-04-22,66837.679688,40107.25464854001
2024-04-23,66132.226563,40894.82265636001
